epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11287.9,0.90199,0.53103,0.92666,0.89492,0.7745,0.84285,0.56516,1.20333,0.75543,1.06261,0.000456863,0.000456863,0.000456863
43,11552.9,0.92181,0.53351,0.93019,0.79125,0.80921,0.82746,0.52381,1.36391,0.78891,1.11046,0.00044925,0.00044925,0.00044925
44,11817.8,0.89845,0.52739,0.9259,0.85281,0.82239,0.84143,0.55308,1.19515,0.71938,1.04621,0.000441637,0.000441637,0.000441637
45,12082.4,0.89994,0.52275,0.92349,0.8447,0.81048,0.83713,0.5547,1.2322,0.77103,1.06439,0.000434024,0.000434024,0.000434024
46,12347.5,0.89892,0.52169,0.92259,0.84658,0.80966,0.83149,0.52938,1.27688,0.76541,1.07707,0.000426411,0.000426411,0.000426411
47,12612.8,0.89467,0.5188,0.92407,0.83674,0.82315,0.83224,0.55346,1.18239,0.73148,1.05771,0.000418797,0.000418797,0.000418797
48,12877.9,0.8868,0.51518,0.92353,0.82189,0.80459,0.83639,0.54758,1.24521,0.76736,1.0966,0.000411184,0.000411184,0.000411184
49,13142.1,0.88816,0.51454,0.92155,0.79307,0.80652,0.82232,0.5458,1.20867,0.74608,1.07472,0.000403571,0.000403571,0.000403571
50,13407.6,0.87715,0.51093,0.91933,0.85298,0.7897,0.83377,0.55695,1.22917,0.75457,1.07782,0.000395958,0.000395958,0.000395958
51,13671.1,0.87967,0.51171,0.92138,0.86716,0.77968,0.84241,0.56387,1.21605,0.7375,1.07991,0.000388345,0.000388345,0.000388345
52,13936.9,0.86442,0.50291,0.91589,0.85921,0.78607,0.83505,0.55011,1.25408,0.73962,1.08128,0.000380732,0.000380732,0.000380732
53,14203.2,0.87275,0.50553,0.9141,0.85562,0.77855,0.83113,0.55346,1.21528,0.76487,1.07703,0.000373119,0.000373119,0.000373119
54,14469.6,0.88192,0.51027,0.91639,0.83345,0.8101,0.84021,0.54925,1.22223,0.72515,1.06717,0.000365506,0.000365506,0.000365506
55,14736.2,0.86084,0.49484,0.9137,0.90863,0.77326,0.84891,0.56258,1.20615,0.73245,1.05825,0.000357893,0.000357893,0.000357893
56,15002.4,0.8523,0.49308,0.90845,0.88448,0.77087,0.83718,0.55631,1.21925,0.7468,1.07538,0.00035028,0.00035028,0.00035028
57,15267.2,0.84469,0.48993,0.90738,0.83039,0.80033,0.83873,0.55854,1.20519,0.72991,1.05976,0.000342666,0.000342666,0.000342666
58,15534.6,0.85071,0.49158,0.90814,0.8435,0.80199,0.84027,0.56136,1.22745,0.73823,1.07741,0.000335053,0.000335053,0.000335053
59,15798.9,0.84847,0.48933,0.90957,0.88067,0.78614,0.83358,0.55472,1.2236,0.7418,1.06541,0.00032744,0.00032744,0.00032744
60,16063.9,0.83721,0.48171,0.91018,0.90914,0.78559,0.84062,0.56493,1.2336,0.72636,1.08432,0.000319827,0.000319827,0.000319827
61,16327.7,0.83612,0.48454,0.90838,0.87605,0.80753,0.8392,0.55183,1.26143,0.72731,1.09078,0.000312214,0.000312214,0.000312214
62,16592.5,0.83971,0.48431,0.90707,0.90459,0.79114,0.84422,0.55655,1.23187,0.73313,1.07092,0.000304601,0.000304601,0.000304601
63,16856.5,0.82814,0.48161,0.90469,0.9022,0.7953,0.84798,0.54773,1.22582,0.73447,1.06249,0.000296988,0.000296988,0.000296988
64,17122,0.82,0.47501,0.90097,0.8781,0.80087,0.84167,0.55487,1.24699,0.73846,1.08127,0.000289375,0.000289375,0.000289375
65,17385.6,0.82102,0.47187,0.90289,0.88508,0.80111,0.84162,0.54733,1.25422,0.72663,1.07877,0.000281762,0.000281762,0.000281762
66,17651.1,0.82259,0.47511,0.90069,0.89142,0.79844,0.83697,0.54957,1.22294,0.72787,1.07906,0.000274148,0.000274148,0.000274148
67,17916.2,0.82205,0.4739,0.90178,0.8736,0.79304,0.84101,0.5559,1.21607,0.72012,1.06923,0.000266535,0.000266535,0.000266535
68,18180.3,0.80547,0.46545,0.89706,0.84374,0.82584,0.84611,0.5674,1.22985,0.71188,1.07172,0.000258922,0.000258922,0.000258922
69,18444.1,0.80718,0.46664,0.90149,0.87341,0.78746,0.84001,0.56396,1.2406,0.73479,1.09212,0.000251309,0.000251309,0.000251309
70,18708.5,0.79726,0.4613,0.89437,0.86033,0.80953,0.84057,0.56141,1.2196,0.72143,1.06336,0.000243696,0.000243696,0.000243696
