epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.223,2.67984,3.98486,2.30474,0.01017,0.07668,0.01476,0.00566,2.26566,3.76898,1.82436,0.000252773,0.000252773,0.000252773
2,582.871,2.12457,2.33113,1.67213,0.65414,0.16893,0.12126,0.05602,1.89364,2.21166,1.45113,0.000504066,0.000504066,0.000504066
3,884.089,1.87875,1.78711,1.46329,0.51228,0.24597,0.21844,0.10804,1.73303,1.73416,1.37021,0.000750284,0.000750284,0.000750284
4,1191.4,1.74333,1.55748,1.36421,0.41235,0.34947,0.34438,0.16654,1.66363,1.40502,1.2899,0.000746161,0.000746161,0.000746161
5,1498.3,1.63274,1.397,1.2992,0.5508,0.50932,0.43866,0.22142,1.57801,1.28679,1.24536,0.000738548,0.000738548,0.000738548
6,1788.28,1.58424,1.28792,1.25858,0.82018,0.41114,0.50988,0.2497,1.6528,1.24385,1.25015,0.000730935,0.000730935,0.000730935
7,2077.49,1.52154,1.21074,1.22194,0.48735,0.55671,0.52263,0.27086,1.54107,1.16658,1.19237,0.000723321,0.000723321,0.000723321
8,2369.1,1.5033,1.17056,1.20092,0.57943,0.54984,0.56942,0.32049,1.41304,1.12949,1.16602,0.000715708,0.000715708,0.000715708
9,2658.45,1.46684,1.10514,1.17746,0.61875,0.54461,0.58794,0.33505,1.46098,1.10565,1.16977,0.000708095,0.000708095,0.000708095
10,2947.14,1.4276,1.06122,1.15917,0.60008,0.60372,0.60295,0.33609,1.48533,1.05496,1.16459,0.000700482,0.000700482,0.000700482
11,3236.81,1.40314,1.02423,1.14776,0.62199,0.59958,0.60992,0.35443,1.43249,1.0188,1.13864,0.000692869,0.000692869,0.000692869
12,3524.65,1.36171,0.98352,1.12494,0.61258,0.63212,0.6254,0.34286,1.43224,0.98031,1.11956,0.000685256,0.000685256,0.000685256
13,3811.65,1.34605,0.95113,1.11218,0.64691,0.64722,0.65813,0.39056,1.3578,0.98332,1.10352,0.000677643,0.000677643,0.000677643
14,4101.59,1.34172,0.93942,1.10716,0.65622,0.65498,0.65306,0.38356,1.37727,0.97764,1.11364,0.00067003,0.00067003,0.00067003
15,4390.48,1.32256,0.91107,1.09746,0.6703,0.62993,0.65451,0.39718,1.37052,0.95119,1.09844,0.000662417,0.000662417,0.000662417
16,4678.22,1.30879,0.88595,1.09071,0.67287,0.65809,0.66274,0.39793,1.34552,0.90085,1.08906,0.000654804,0.000654804,0.000654804
17,4968.19,1.28684,0.8701,1.07795,0.66099,0.72281,0.67138,0.39399,1.36107,0.9055,1.09196,0.00064719,0.00064719,0.00064719
18,5253.63,1.27989,0.85702,1.07501,0.68692,0.66195,0.69153,0.40468,1.34803,0.89681,1.08003,0.000639577,0.000639577,0.000639577
19,5538.41,1.26351,0.82852,1.06269,0.70267,0.63102,0.68218,0.42184,1.34503,0.91123,1.08934,0.000631964,0.000631964,0.000631964
20,5823.96,1.25196,0.81993,1.06146,0.70997,0.68661,0.71071,0.42923,1.37141,0.87474,1.0918,0.000624351,0.000624351,0.000624351
21,6109.9,1.23233,0.80582,1.05708,0.74249,0.64394,0.71051,0.42573,1.36992,0.88559,1.09956,0.000616738,0.000616738,0.000616738
22,6395.47,1.22864,0.79628,1.05207,0.65895,0.73861,0.71708,0.43634,1.31765,0.84963,1.07961,0.000609125,0.000609125,0.000609125
23,6681.86,1.20781,0.78277,1.04154,0.72783,0.63934,0.69893,0.42238,1.33723,0.86076,1.09012,0.000601512,0.000601512,0.000601512
24,6967.15,1.20105,0.76686,1.03756,0.72367,0.73771,0.72782,0.44036,1.30883,0.83987,1.0763,0.000593899,0.000593899,0.000593899
25,7252.51,1.20377,0.75884,1.03916,0.74598,0.69073,0.70967,0.42152,1.33759,0.83304,1.07759,0.000586286,0.000586286,0.000586286
26,7538.88,1.18426,0.74961,1.03416,0.77079,0.68434,0.73986,0.44427,1.32512,0.84885,1.07896,0.000578672,0.000578672,0.000578672
27,7825.37,1.18566,0.73908,1.02481,0.7696,0.72322,0.74137,0.45307,1.36898,0.85425,1.09425,0.000571059,0.000571059,0.000571059
28,8110.85,1.17034,0.73162,1.02331,0.72183,0.75309,0.75895,0.43395,1.38257,0.83359,1.09089,0.000563446,0.000563446,0.000563446
29,8397.49,1.1595,0.72375,1.01799,0.6999,0.73944,0.73321,0.42679,1.34304,0.85711,1.08557,0.000555833,0.000555833,0.000555833
30,8682.52,1.14767,0.71716,1.02119,0.75556,0.71864,0.74222,0.43095,1.33071,0.84397,1.06808,0.00054822,0.00054822,0.00054822
