epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11125.6,1.11818,0.67424,1.00282,0.88007,0.71768,0.80634,0.50179,1.30068,0.78974,1.07206,0.000456863,0.000456863,0.000456863
43,11380.8,1.13686,0.67535,1.00862,0.85896,0.75296,0.81306,0.49061,1.3202,0.79028,1.06795,0.00044925,0.00044925,0.00044925
44,11635.4,1.13239,0.67159,1.00559,0.8907,0.74049,0.80636,0.50154,1.39647,0.81816,1.09369,0.000441637,0.000441637,0.000441637
45,11891.3,1.12826,0.66401,1.00309,0.90116,0.75713,0.80608,0.49565,1.30787,0.78853,1.06215,0.000434024,0.000434024,0.000434024
46,12147,1.10947,0.66168,0.99454,0.85122,0.74332,0.80786,0.50501,1.32863,0.80134,1.07064,0.000426411,0.000426411,0.000426411
47,12402.8,1.103,0.66155,0.99521,0.84718,0.75821,0.80085,0.50201,1.2868,0.78189,1.06393,0.000418797,0.000418797,0.000418797
48,12658.2,1.09708,0.65286,0.99597,0.87481,0.73451,0.81674,0.51143,1.32274,0.79876,1.07475,0.000411184,0.000411184,0.000411184
49,12914.1,1.09951,0.65206,0.99414,0.87413,0.76017,0.81238,0.5086,1.30035,0.77804,1.06765,0.000403571,0.000403571,0.000403571
50,13170.5,1.10284,0.65796,0.99524,0.87466,0.7442,0.8062,0.51038,1.29972,0.809,1.0739,0.000395958,0.000395958,0.000395958
51,13426.7,1.08913,0.65499,0.9945,0.83621,0.76033,0.8025,0.50319,1.32189,0.78755,1.08164,0.000388345,0.000388345,0.000388345
52,13682.6,1.09298,0.64642,0.99153,0.8628,0.73776,0.80287,0.5102,1.30021,0.79486,1.07466,0.000380732,0.000380732,0.000380732
53,13940,1.09571,0.64705,0.99024,0.87069,0.7155,0.80488,0.51106,1.30036,0.78829,1.06484,0.000373119,0.000373119,0.000373119
54,14196.5,1.09472,0.64481,0.98877,0.83893,0.76752,0.80446,0.51178,1.28984,0.79209,1.06932,0.000365506,0.000365506,0.000365506
55,14452.5,1.07145,0.63279,0.98514,0.88335,0.73774,0.81165,0.51157,1.28988,0.77495,1.05942,0.000357893,0.000357893,0.000357893
56,14708.3,1.07252,0.63037,0.98142,0.87865,0.76238,0.81523,0.51118,1.29794,0.77109,1.0633,0.00035028,0.00035028,0.00035028
57,14964.4,1.08072,0.63338,0.98556,0.87275,0.7647,0.81285,0.51627,1.32669,0.76976,1.06558,0.000342666,0.000342666,0.000342666
58,15220.7,1.07467,0.63309,0.98266,0.86946,0.76083,0.812,0.50715,1.31414,0.75997,1.07825,0.000335053,0.000335053,0.000335053
59,15476.3,1.06996,0.62451,0.98392,0.85568,0.77917,0.82722,0.51243,1.30182,0.76255,1.0684,0.00032744,0.00032744,0.00032744
60,15732.6,1.04625,0.62033,0.98197,0.82393,0.78937,0.80545,0.51771,1.28278,0.76614,1.06438,0.000319827,0.000319827,0.000319827
61,15991.5,1.0572,0.62574,0.98153,0.82851,0.77982,0.81504,0.52078,1.3033,0.78483,1.07705,0.000312214,0.000312214,0.000312214
62,16249.1,1.0663,0.62529,0.97912,0.86116,0.74498,0.80667,0.5086,1.29678,0.7712,1.07006,0.000304601,0.000304601,0.000304601
63,16506.3,1.05245,0.62067,0.97851,0.87784,0.75598,0.81552,0.50459,1.38035,0.7973,1.08874,0.000296988,0.000296988,0.000296988
64,16773.8,1.04936,0.61725,0.97703,0.86052,0.78703,0.83236,0.52702,1.28216,0.768,1.07,0.000289375,0.000289375,0.000289375
65,17042.6,1.04338,0.61239,0.97715,0.87219,0.77492,0.83297,0.51936,1.31695,0.78114,1.07108,0.000281762,0.000281762,0.000281762
66,17311.3,1.04759,0.61691,0.97446,0.82245,0.76732,0.81622,0.51574,1.316,0.78982,1.07654,0.000274148,0.000274148,0.000274148
67,17574,1.03879,0.61172,0.97203,0.87817,0.74784,0.81935,0.51245,1.31795,0.77213,1.07043,0.000266535,0.000266535,0.000266535
68,17831,1.02809,0.60282,0.96798,0.83145,0.77556,0.82446,0.51787,1.31004,0.77989,1.0804,0.000258922,0.000258922,0.000258922
69,18087.4,1.03284,0.60469,0.97458,0.88585,0.74585,0.82754,0.51769,1.30629,0.78635,1.07725,0.000251309,0.000251309,0.000251309
70,18344,1.02601,0.6009,0.96587,0.85177,0.77445,0.82855,0.52346,1.29395,0.7816,1.06391,0.000243696,0.000243696,0.000243696
71,18599.1,1.02731,0.59376,0.96769,0.85137,0.75884,0.81143,0.51774,1.31484,0.77771,1.07199,0.000236083,0.000236083,0.000236083
72,18855.2,1.02949,0.60604,0.97321,0.88946,0.7771,0.83311,0.52431,1.30023,0.7902,1.07412,0.00022847,0.00022847,0.00022847
73,19110.9,1.01348,0.59381,0.96213,0.90641,0.7505,0.83078,0.52594,1.33304,0.79344,1.07799,0.000220857,0.000220857,0.000220857
74,19367.2,1.02702,0.5986,0.96644,0.81685,0.79998,0.8328,0.53267,1.31885,0.77812,1.07637,0.000213244,0.000213244,0.000213244
75,19622.1,1.00839,0.59519,0.96498,0.85253,0.7719,0.82418,0.5195,1.3014,0.75108,1.07506,0.000205631,0.000205631,0.000205631
76,19878.6,1.00594,0.59201,0.96421,0.83631,0.77984,0.82518,0.52921,1.30573,0.77277,1.07714,0.000198018,0.000198018,0.000198018
77,20143.8,1.00486,0.59039,0.96204,0.8869,0.75078,0.82895,0.52157,1.3218,0.77735,1.0767,0.000190404,0.000190404,0.000190404
78,20400,1.00999,0.58864,0.96445,0.88395,0.73442,0.81833,0.51869,1.32581,0.77882,1.08463,0.000182791,0.000182791,0.000182791
79,20656.2,1.00434,0.58794,0.95987,0.87198,0.7642,0.82459,0.52864,1.30385,0.76418,1.06612,0.000175178,0.000175178,0.000175178
80,20912.2,1.00272,0.58651,0.96371,0.87539,0.75925,0.82523,0.52052,1.31472,0.76978,1.0705,0.000167565,0.000167565,0.000167565
81,21174.9,1.00121,0.58592,0.96093,0.88766,0.76215,0.83085,0.52723,1.30457,0.76711,1.07014,0.000159952,0.000159952,0.000159952
82,21432.5,0.99422,0.58419,0.95572,0.88413,0.77615,0.82823,0.523,1.31484,0.76516,1.06829,0.000152339,0.000152339,0.000152339
83,21688.5,0.9956,0.58203,0.95599,0.82589,0.80703,0.83156,0.51275,1.32046,0.78061,1.07026,0.000144726,0.000144726,0.000144726
84,21945.8,0.993,0.58293,0.9557,0.82267,0.78758,0.82537,0.51963,1.30356,0.77688,1.07318,0.000137113,0.000137113,0.000137113
85,22201.6,0.98928,0.57846,0.9544,0.8785,0.77888,0.83324,0.52402,1.31453,0.76408,1.07335,0.0001295,0.0001295,0.0001295
86,22457.6,0.99741,0.58295,0.95905,0.85979,0.77386,0.82897,0.53394,1.29467,0.76922,1.07304,0.000121887,0.000121887,0.000121887
87,22713.6,0.99489,0.58123,0.95796,0.88161,0.78588,0.83753,0.52708,1.29924,0.77188,1.0713,0.000114273,0.000114273,0.000114273
88,22969.3,0.97136,0.56879,0.95116,0.81793,0.77837,0.81601,0.52569,1.30033,0.7644,1.07012,0.00010666,0.00010666,0.00010666
89,23224.5,0.97718,0.56825,0.95292,0.87043,0.74682,0.82694,0.52808,1.29065,0.76794,1.06982,9.90472e-05,9.90472e-05,9.90472e-05
90,23480.1,0.98188,0.5733,0.95249,0.83893,0.76897,0.82355,0.52613,1.29534,0.77042,1.06852,9.14341e-05,9.14341e-05,9.14341e-05
91,23726.6,0.97305,0.56186,0.94092,0.79516,0.79922,0.8158,0.5018,1.32901,0.80429,1.09959,8.3821e-05,8.3821e-05,8.3821e-05
92,23973,0.94971,0.53569,0.93269,0.80358,0.79996,0.81804,0.51554,1.32083,0.80999,1.09015,7.62079e-05,7.62079e-05,7.62079e-05
93,24219.5,0.92649,0.52534,0.92663,0.85226,0.78527,0.8185,0.51414,1.32908,0.79994,1.09099,6.85948e-05,6.85948e-05,6.85948e-05
94,24466.7,0.91337,0.51634,0.92395,0.85029,0.78375,0.82463,0.51271,1.32428,0.79575,1.08258,6.09817e-05,6.09817e-05,6.09817e-05
95,24712.1,0.90506,0.51274,0.92026,0.83728,0.79893,0.83138,0.52109,1.3187,0.79665,1.08363,5.33686e-05,5.33686e-05,5.33686e-05
96,24958.1,0.92591,0.52509,0.92484,0.85295,0.78764,0.82752,0.51716,1.3133,0.78866,1.08118,4.57555e-05,4.57555e-05,4.57555e-05
97,25204.1,0.90239,0.51256,0.91874,0.8466,0.77976,0.82618,0.5187,1.32185,0.79262,1.08034,3.81424e-05,3.81424e-05,3.81424e-05
98,25449.2,0.90108,0.50914,0.91894,0.85722,0.77744,0.82636,0.52099,1.31348,0.78703,1.08117,3.05293e-05,3.05293e-05,3.05293e-05
99,25695.2,0.89835,0.50987,0.91866,0.85145,0.78171,0.82774,0.51894,1.32365,0.78696,1.08411,2.29162e-05,2.29162e-05,2.29162e-05
100,25940.9,0.89521,0.50807,0.91587,0.84685,0.78452,0.82564,0.52036,1.31578,0.78565,1.08227,1.53031e-05,1.53031e-05,1.53031e-05
